question,difficulty,category,date,Question,Answer,Category,Difficulty,paraphrase,question_text,topic,difficulty_clean,difficulty_norm,question_text_clean
What is your favorite machine learning algorithm and why? (Sample 41),Hard,Machine Learning,2025-04-21,,,,,,What is your favorite machine learning algorithm and why? (Sample 41),Machine Learning,Hard,hard,What is your favorite machine learning algorithm and why? (Sample 41)
What are the key differences between classification and regression? (Sample 42),Easy,Machine Learning,2024-10-11,,,,,,What are the key differences between classification and regression? (Sample 42),Machine Learning,Easy,easy,What are the key differences between classification and regression? (Sample 42)
Describe the process of feature selection. (Sample 43),Medium,Machine Learning,2025-04-04,,,,,,Describe the process of feature selection. (Sample 43),Machine Learning,Medium,medium,Describe the process of feature selection. (Sample 43)
What are the advantages of ensemble methods? (Sample 44),Easy,Machine Learning,2025-05-03,,,,,,What are the advantages of ensemble methods? (Sample 44),Machine Learning,Easy,easy,What are the advantages of ensemble methods? (Sample 44)
Can you explain the concept of gradient descent? (Sample 45),Medium,Machine Learning,2024-12-13,,,,,,Can you explain the concept of gradient descent? (Sample 45),Machine Learning,Medium,medium,Can you explain the concept of gradient descent? (Sample 45)
What is your favorite machine learning algorithm and why? (Sample 46),Hard,Machine Learning,2024-10-24,,,,,,What is your favorite machine learning algorithm and why? (Sample 46),Machine Learning,Hard,hard,What is your favorite machine learning algorithm and why? (Sample 46)
How would you explain the concept of overfitting? (Sample 47),Hard,Machine Learning,2025-05-18,,,,,,How would you explain the concept of overfitting? (Sample 47),Machine Learning,Hard,hard,How would you explain the concept of overfitting? (Sample 47)
How would you approach data cleaning for a large dataset? (Sample 48),Medium,Data Science,2025-05-06,,,,,,How would you approach data cleaning for a large dataset? (Sample 48),Data Science,Medium,medium,How would you approach data cleaning for a large dataset? (Sample 48)
Describe a challenging machine learning project you have worked on. (Sample 49),Medium,Machine Learning,2025-02-25,,,,,,Describe a challenging machine learning project you have worked on. (Sample 49),Machine Learning,Medium,medium,Describe a challenging machine learning project you have worked on. (Sample 49)
Describe a challenging machine learning project you have worked on. (Sample 50),Easy,Machine Learning,2025-07-22,,,,,,Describe a challenging machine learning project you have worked on. (Sample 50),Machine Learning,Easy,easy,Describe a challenging machine learning project you have worked on. (Sample 50)
What are the key differences between classification and regression? (Sample 51),Easy,Machine Learning,2025-03-14,,,,,,What are the key differences between classification and regression? (Sample 51),Machine Learning,Easy,easy,What are the key differences between classification and regression? (Sample 51)
How would you approach data cleaning for a large dataset? (Sample 52),Hard,Data Science,2024-09-03,,,,,,How would you approach data cleaning for a large dataset? (Sample 52),Data Science,Hard,hard,How would you approach data cleaning for a large dataset? (Sample 52)
What is principal component analysis (PCA)? (Sample 53),Easy,Data Science,2024-08-11,,,,,,What is principal component analysis (PCA)? (Sample 53),Data Science,Easy,easy,What is principal component analysis (PCA)? (Sample 53)
What is the bias-variance tradeoff? (Sample 54),Medium,Machine Learning,2025-03-27,,,,,,What is the bias-variance tradeoff? (Sample 54),Machine Learning,Medium,medium,What is the bias-variance tradeoff? (Sample 54)
Describe a challenging machine learning project you have worked on. (Sample 55),Medium,Machine Learning,2025-02-16,,,,,,Describe a challenging machine learning project you have worked on. (Sample 55),Machine Learning,Medium,medium,Describe a challenging machine learning project you have worked on. (Sample 55)
How would you approach data cleaning for a large dataset? (Sample 56),Medium,Data Science,2025-02-07,,,,,,How would you approach data cleaning for a large dataset? (Sample 56),Data Science,Medium,medium,How would you approach data cleaning for a large dataset? (Sample 56)
What are the advantages of ensemble methods? (Sample 57),Medium,Machine Learning,2025-01-29,,,,,,What are the advantages of ensemble methods? (Sample 57),Machine Learning,Medium,medium,What are the advantages of ensemble methods? (Sample 57)
Describe the process of feature selection. (Sample 58),Hard,Machine Learning,2025-04-01,,,,,,Describe the process of feature selection. (Sample 58),Machine Learning,Hard,hard,Describe the process of feature selection. (Sample 58)
How would you approach data cleaning for a large dataset? (Sample 59),Easy,Data Science,2025-04-11,,,,,,How would you approach data cleaning for a large dataset? (Sample 59),Data Science,Easy,easy,How would you approach data cleaning for a large dataset? (Sample 59)
Explain the difference between L1 and L2 regularization. (Sample 60),Medium,Machine Learning,2024-11-27,,,,,,Explain the difference between L1 and L2 regularization. (Sample 60),Machine Learning,Medium,medium,Explain the difference between L1 and L2 regularization. (Sample 60)
What metrics would you use to evaluate a regression model? (Sample 61),Medium,Machine Learning,2025-01-16,,,,,,What metrics would you use to evaluate a regression model? (Sample 61),Machine Learning,Medium,medium,What metrics would you use to evaluate a regression model? (Sample 61)
What are the advantages of ensemble methods? (Sample 62),Medium,Machine Learning,2024-08-28,,,,,,What are the advantages of ensemble methods? (Sample 62),Machine Learning,Medium,medium,What are the advantages of ensemble methods? (Sample 62)
What is your favorite machine learning algorithm and why? (Sample 63),Hard,Machine Learning,2025-03-14,,,,,,What is your favorite machine learning algorithm and why? (Sample 63),Machine Learning,Hard,hard,What is your favorite machine learning algorithm and why? (Sample 63)
What is your favorite machine learning algorithm and why? (Sample 64),Easy,Machine Learning,2024-12-09,,,,,,What is your favorite machine learning algorithm and why? (Sample 64),Machine Learning,Easy,easy,What is your favorite machine learning algorithm and why? (Sample 64)
What is the bias-variance tradeoff? (Sample 65),Hard,Machine Learning,2024-12-29,,,,,,What is the bias-variance tradeoff? (Sample 65),Machine Learning,Hard,hard,What is the bias-variance tradeoff? (Sample 65)
Can you explain the concept of gradient descent? (Sample 66),Hard,Machine Learning,2025-06-23,,,,,,Can you explain the concept of gradient descent? (Sample 66),Machine Learning,Hard,hard,Can you explain the concept of gradient descent? (Sample 66)
Explain cross-validation and its purpose. (Sample 67),Hard,Machine Learning,2024-10-20,,,,,,Explain cross-validation and its purpose. (Sample 67),Machine Learning,Hard,hard,Explain cross-validation and its purpose. (Sample 67)
What is your favorite machine learning algorithm and why? (Sample 68),Easy,Machine Learning,2024-11-05,,,,,,What is your favorite machine learning algorithm and why? (Sample 68),Machine Learning,Easy,easy,What is your favorite machine learning algorithm and why? (Sample 68)
What is principal component analysis (PCA)? (Sample 69),Easy,Data Science,2025-06-25,,,,,,What is principal component analysis (PCA)? (Sample 69),Data Science,Easy,easy,What is principal component analysis (PCA)? (Sample 69)
What is regularization and why is it important? (Sample 70),Easy,Machine Learning,2024-10-03,,,,,,What is regularization and why is it important? (Sample 70),Machine Learning,Easy,easy,What is regularization and why is it important? (Sample 70)
Describe the process of backpropagation. (Sample 71),Hard,Deep Learning,2025-07-25,,,,,,Describe the process of backpropagation. (Sample 71),Deep Learning,Hard,hard,Describe the process of backpropagation. (Sample 71)
What is principal component analysis (PCA)? (Sample 72),Medium,Data Science,2025-01-02,,,,,,What is principal component analysis (PCA)? (Sample 72),Data Science,Medium,medium,What is principal component analysis (PCA)? (Sample 72)
Describe the process of feature selection. (Sample 73),Hard,Machine Learning,2025-06-06,,,,,,Describe the process of feature selection. (Sample 73),Machine Learning,Hard,hard,Describe the process of feature selection. (Sample 73)
How would you optimize a machine learning model? (Sample 74),Medium,Machine Learning,2025-05-17,,,,,,How would you optimize a machine learning model? (Sample 74),Machine Learning,Medium,medium,How would you optimize a machine learning model? (Sample 74)
How would you approach data cleaning for a large dataset? (Sample 75),Easy,Data Science,2025-01-13,,,,,,How would you approach data cleaning for a large dataset? (Sample 75),Data Science,Easy,easy,How would you approach data cleaning for a large dataset? (Sample 75)
How would you optimize a machine learning model? (Sample 76),Medium,Machine Learning,2025-05-02,,,,,,How would you optimize a machine learning model? (Sample 76),Machine Learning,Medium,medium,How would you optimize a machine learning model? (Sample 76)
What is the role of activation functions in deep learning? (Sample 77),Easy,Deep Learning,2024-12-25,,,,,,What is the role of activation functions in deep learning? (Sample 77),Deep Learning,Easy,easy,What is the role of activation functions in deep learning? (Sample 77)
What metrics would you use to evaluate a regression model? (Sample 78),Medium,Machine Learning,2025-01-29,,,,,,What metrics would you use to evaluate a regression model? (Sample 78),Machine Learning,Medium,medium,What metrics would you use to evaluate a regression model? (Sample 78)
What is the difference between bagging and boosting? (Sample 79),Easy,Machine Learning,2024-08-25,,,,,,What is the difference between bagging and boosting? (Sample 79),Machine Learning,Easy,easy,What is the difference between bagging and boosting? (Sample 79)
What is principal component analysis (PCA)? (Sample 80),Hard,Data Science,2025-01-31,,,,,,What is principal component analysis (PCA)? (Sample 80),Data Science,Hard,hard,What is principal component analysis (PCA)? (Sample 80)
Describe the process of feature selection. (Sample 81),Easy,Machine Learning,2025-05-27,,,,,,Describe the process of feature selection. (Sample 81),Machine Learning,Easy,easy,Describe the process of feature selection. (Sample 81)
Describe the process of backpropagation. (Sample 82),Medium,Deep Learning,2025-01-22,,,,,,Describe the process of backpropagation. (Sample 82),Deep Learning,Medium,medium,Describe the process of backpropagation. (Sample 82)
What is the difference between bagging and boosting? (Sample 83),Easy,Machine Learning,2024-12-02,,,,,,What is the difference between bagging and boosting? (Sample 83),Machine Learning,Easy,easy,What is the difference between bagging and boosting? (Sample 83)
What is your favorite machine learning algorithm and why? (Sample 84),Easy,Machine Learning,2025-02-11,,,,,,What is your favorite machine learning algorithm and why? (Sample 84),Machine Learning,Easy,easy,What is your favorite machine learning algorithm and why? (Sample 84)
How does a neural network work? (Sample 85),Hard,Deep Learning,2025-05-12,,,,,,How does a neural network work? (Sample 85),Deep Learning,Hard,hard,How does a neural network work? (Sample 85)
What is regularization and why is it important? (Sample 86),Hard,Machine Learning,2024-11-16,,,,,,What is regularization and why is it important? (Sample 86),Machine Learning,Hard,hard,What is regularization and why is it important? (Sample 86)
How would you approach data cleaning for a large dataset? (Sample 87),Medium,Data Science,2024-10-03,,,,,,How would you approach data cleaning for a large dataset? (Sample 87),Data Science,Medium,medium,How would you approach data cleaning for a large dataset? (Sample 87)
What is your favorite machine learning algorithm and why? (Sample 88),Hard,Machine Learning,2024-10-30,,,,,,What is your favorite machine learning algorithm and why? (Sample 88),Machine Learning,Hard,hard,What is your favorite machine learning algorithm and why? (Sample 88)
Explain the difference between L1 and L2 regularization. (Sample 89),Easy,Machine Learning,2024-07-30,,,,,,Explain the difference between L1 and L2 regularization. (Sample 89),Machine Learning,Easy,easy,Explain the difference between L1 and L2 regularization. (Sample 89)
What is the role of activation functions in deep learning? (Sample 90),Easy,Deep Learning,2025-02-14,,,,,,What is the role of activation functions in deep learning? (Sample 90),Deep Learning,Easy,easy,What is the role of activation functions in deep learning? (Sample 90)
Explain cross-validation and its purpose. (Sample 91),Medium,Machine Learning,2025-05-13,,,,,,Explain cross-validation and its purpose. (Sample 91),Machine Learning,Medium,medium,Explain cross-validation and its purpose. (Sample 91)
Explain cross-validation and its purpose. (Sample 92),Hard,Machine Learning,2024-10-24,,,,,,Explain cross-validation and its purpose. (Sample 92),Machine Learning,Hard,hard,Explain cross-validation and its purpose. (Sample 92)
What is regularization and why is it important? (Sample 93),Easy,Machine Learning,2024-11-26,,,,,,What is regularization and why is it important? (Sample 93),Machine Learning,Easy,easy,What is regularization and why is it important? (Sample 93)
Explain the difference between L1 and L2 regularization. (Sample 94),Hard,Machine Learning,2025-02-11,,,,,,Explain the difference between L1 and L2 regularization. (Sample 94),Machine Learning,Hard,hard,Explain the difference between L1 and L2 regularization. (Sample 94)
What metrics would you use to evaluate a regression model? (Sample 95),Medium,Machine Learning,2024-09-16,,,,,,What metrics would you use to evaluate a regression model? (Sample 95),Machine Learning,Medium,medium,What metrics would you use to evaluate a regression model? (Sample 95)
Explain the difference between L1 and L2 regularization. (Sample 96),Easy,Machine Learning,2024-10-27,,,,,,Explain the difference between L1 and L2 regularization. (Sample 96),Machine Learning,Easy,easy,Explain the difference between L1 and L2 regularization. (Sample 96)
How would you approach data cleaning for a large dataset? (Sample 97),Easy,Data Science,2024-08-05,,,,,,How would you approach data cleaning for a large dataset? (Sample 97),Data Science,Easy,easy,How would you approach data cleaning for a large dataset? (Sample 97)
What is regularization and why is it important? (Sample 98),Easy,Machine Learning,2024-12-04,,,,,,What is regularization and why is it important? (Sample 98),Machine Learning,Easy,easy,What is regularization and why is it important? (Sample 98)
What are the key differences between classification and regression? (Sample 99),Easy,Machine Learning,2024-09-22,,,,,,What are the key differences between classification and regression? (Sample 99),Machine Learning,Easy,easy,What are the key differences between classification and regression? (Sample 99)
What is your favorite machine learning algorithm and why? (Sample 100),Hard,Machine Learning,2024-10-16,,,,,,What is your favorite machine learning algorithm and why? (Sample 100),Machine Learning,Hard,hard,What is your favorite machine learning algorithm and why? (Sample 100)
Describe a challenging machine learning project you have worked on. (Sample 101),Hard,Machine Learning,2024-10-15,,,,,,Describe a challenging machine learning project you have worked on. (Sample 101),Machine Learning,Hard,hard,Describe a challenging machine learning project you have worked on. (Sample 101)
Can you explain the concept of gradient descent? (Sample 102),Easy,Machine Learning,2025-07-22,,,,,,Can you explain the concept of gradient descent? (Sample 102),Machine Learning,Easy,easy,Can you explain the concept of gradient descent? (Sample 102)
Describe a challenging machine learning project you have worked on. (Sample 103),Hard,Machine Learning,2024-09-10,,,,,,Describe a challenging machine learning project you have worked on. (Sample 103),Machine Learning,Hard,hard,Describe a challenging machine learning project you have worked on. (Sample 103)
What is your favorite machine learning algorithm and why? (Sample 104),Medium,Machine Learning,2025-02-09,,,,,,What is your favorite machine learning algorithm and why? (Sample 104),Machine Learning,Medium,medium,What is your favorite machine learning algorithm and why? (Sample 104)
What metrics would you use to evaluate a regression model? (Sample 105),Medium,Machine Learning,2024-10-14,,,,,,What metrics would you use to evaluate a regression model? (Sample 105),Machine Learning,Medium,medium,What metrics would you use to evaluate a regression model? (Sample 105)
How would you optimize a machine learning model? (Sample 106),Easy,Machine Learning,2024-08-26,,,,,,How would you optimize a machine learning model? (Sample 106),Machine Learning,Easy,easy,How would you optimize a machine learning model? (Sample 106)
Explain cross-validation and its purpose. (Sample 107),Medium,Machine Learning,2025-06-02,,,,,,Explain cross-validation and its purpose. (Sample 107),Machine Learning,Medium,medium,Explain cross-validation and its purpose. (Sample 107)
What is the role of activation functions in deep learning? (Sample 108),Medium,Deep Learning,2025-03-26,,,,,,What is the role of activation functions in deep learning? (Sample 108),Deep Learning,Medium,medium,What is the role of activation functions in deep learning? (Sample 108)
What are the advantages of ensemble methods? (Sample 109),Easy,Machine Learning,2024-12-02,,,,,,What are the advantages of ensemble methods? (Sample 109),Machine Learning,Easy,easy,What are the advantages of ensemble methods? (Sample 109)
What are the advantages of ensemble methods? (Sample 110),Easy,Machine Learning,2024-08-03,,,,,,What are the advantages of ensemble methods? (Sample 110),Machine Learning,Easy,easy,What are the advantages of ensemble methods? (Sample 110)
How would you approach data cleaning for a large dataset? (Sample 111),Medium,Data Science,2025-04-24,,,,,,How would you approach data cleaning for a large dataset? (Sample 111),Data Science,Medium,medium,How would you approach data cleaning for a large dataset? (Sample 111)
Can you explain the concept of gradient descent? (Sample 112),Easy,Machine Learning,2024-10-20,,,,,,Can you explain the concept of gradient descent? (Sample 112),Machine Learning,Easy,easy,Can you explain the concept of gradient descent? (Sample 112)
How does a neural network work? (Sample 113),Hard,Deep Learning,2025-03-22,,,,,,How does a neural network work? (Sample 113),Deep Learning,Hard,hard,How does a neural network work? (Sample 113)
What are the key differences between classification and regression? (Sample 114),Hard,Machine Learning,2025-02-22,,,,,,What are the key differences between classification and regression? (Sample 114),Machine Learning,Hard,hard,What are the key differences between classification and regression? (Sample 114)
What is the bias-variance tradeoff? (Sample 115),Medium,Machine Learning,2025-04-26,,,,,,What is the bias-variance tradeoff? (Sample 115),Machine Learning,Medium,medium,What is the bias-variance tradeoff? (Sample 115)
What metrics would you use to evaluate a regression model? (Sample 116),Medium,Machine Learning,2025-05-16,,,,,,What metrics would you use to evaluate a regression model? (Sample 116),Machine Learning,Medium,medium,What metrics would you use to evaluate a regression model? (Sample 116)
What is the difference between bagging and boosting? (Sample 117),Hard,Machine Learning,2024-08-02,,,,,,What is the difference between bagging and boosting? (Sample 117),Machine Learning,Hard,hard,What is the difference between bagging and boosting? (Sample 117)
What is the role of activation functions in deep learning? (Sample 118),Medium,Deep Learning,2025-07-21,,,,,,What is the role of activation functions in deep learning? (Sample 118),Deep Learning,Medium,medium,What is the role of activation functions in deep learning? (Sample 118)
How would you optimize a machine learning model? (Sample 119),Medium,Machine Learning,2024-11-13,,,,,,How would you optimize a machine learning model? (Sample 119),Machine Learning,Medium,medium,How would you optimize a machine learning model? (Sample 119)
What are the key differences between classification and regression? (Sample 120),Medium,Machine Learning,2025-02-16,,,,,,What are the key differences between classification and regression? (Sample 120),Machine Learning,Medium,medium,What are the key differences between classification and regression? (Sample 120)
What is the difference between bagging and boosting? (Sample 121),Easy,Machine Learning,2025-07-20,,,,,,What is the difference between bagging and boosting? (Sample 121),Machine Learning,Easy,easy,What is the difference between bagging and boosting? (Sample 121)
What is regularization and why is it important? (Sample 122),Medium,Machine Learning,2024-09-20,,,,,,What is regularization and why is it important? (Sample 122),Machine Learning,Medium,medium,What is regularization and why is it important? (Sample 122)
What metrics would you use to evaluate a regression model? (Sample 123),Hard,Machine Learning,2025-06-20,,,,,,What metrics would you use to evaluate a regression model? (Sample 123),Machine Learning,Hard,hard,What metrics would you use to evaluate a regression model? (Sample 123)
What are the key differences between classification and regression? (Sample 124),Easy,Machine Learning,2025-05-10,,,,,,What are the key differences between classification and regression? (Sample 124),Machine Learning,Easy,easy,What are the key differences between classification and regression? (Sample 124)
What is the bias-variance tradeoff? (Sample 125),Hard,Machine Learning,2025-06-09,,,,,,What is the bias-variance tradeoff? (Sample 125),Machine Learning,Hard,hard,What is the bias-variance tradeoff? (Sample 125)
What is regularization and why is it important? (Sample 126),Medium,Machine Learning,2025-06-13,,,,,,What is regularization and why is it important? (Sample 126),Machine Learning,Medium,medium,What is regularization and why is it important? (Sample 126)
Describe the process of feature selection. (Sample 127),Easy,Machine Learning,2025-06-08,,,,,,Describe the process of feature selection. (Sample 127),Machine Learning,Easy,easy,Describe the process of feature selection. (Sample 127)
How would you optimize a machine learning model? (Sample 128),Hard,Machine Learning,2024-10-27,,,,,,How would you optimize a machine learning model? (Sample 128),Machine Learning,Hard,hard,How would you optimize a machine learning model? (Sample 128)
What is principal component analysis (PCA)? (Sample 129),Medium,Data Science,2025-05-15,,,,,,What is principal component analysis (PCA)? (Sample 129),Data Science,Medium,medium,What is principal component analysis (PCA)? (Sample 129)
What metrics would you use to evaluate a regression model? (Sample 130),Medium,Machine Learning,2024-11-27,,,,,,What metrics would you use to evaluate a regression model? (Sample 130),Machine Learning,Medium,medium,What metrics would you use to evaluate a regression model? (Sample 130)
What is the role of activation functions in deep learning? (Sample 131),Hard,Deep Learning,2024-10-24,,,,,,What is the role of activation functions in deep learning? (Sample 131),Deep Learning,Hard,hard,What is the role of activation functions in deep learning? (Sample 131)
Describe the process of feature selection. (Sample 132),Easy,Machine Learning,2025-06-23,,,,,,Describe the process of feature selection. (Sample 132),Machine Learning,Easy,easy,Describe the process of feature selection. (Sample 132)
What metrics would you use to evaluate a regression model? (Sample 133),Medium,Machine Learning,2025-03-15,,,,,,What metrics would you use to evaluate a regression model? (Sample 133),Machine Learning,Medium,medium,What metrics would you use to evaluate a regression model? (Sample 133)
Can you explain the concept of gradient descent? (Sample 134),Easy,Machine Learning,2024-09-26,,,,,,Can you explain the concept of gradient descent? (Sample 134),Machine Learning,Easy,easy,Can you explain the concept of gradient descent? (Sample 134)
What metrics would you use to evaluate a regression model? (Sample 135),Medium,Machine Learning,2025-06-21,,,,,,What metrics would you use to evaluate a regression model? (Sample 135),Machine Learning,Medium,medium,What metrics would you use to evaluate a regression model? (Sample 135)
